                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                    nan,                    nan,                    nan,                0.01313,                0.01873,                0.00711,                0.00225,                    nan,                    nan,                    nan,               0.070508,              0.0032768,              0.0032768
                      1,                    nan,                    nan,                    nan,                0.00917,                0.00538,                0.00495,                0.00134,                    nan,                    nan,                    nan,               0.039854,              0.0059558,              0.0059558
                      2,                    nan,                    nan,                    nan,                0.00872,                0.00491,                0.00463,                0.00101,                    nan,                    nan,                    nan,              0.0085397,              0.0079747,              0.0079747
                      3,                    nan,                    nan,                    nan,                0.01142,                0.00658,                0.00596,                0.00118,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                      4,                    nan,                    nan,                    nan,                0.01174,                0.02047,                0.00635,                0.00149,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                      5,                    nan,                    nan,                    nan,                0.00805,                0.01999,                0.00441,                0.00121,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                      6,                    nan,                    nan,                    nan,                0.00638,                0.01833,                 0.0035,                0.00111,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                      7,                    nan,                    nan,                    nan,                0.00833,                0.01999,                0.00447,                 0.0014,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                      8,                    nan,                    nan,                    nan,                0.01166,                0.02047,                0.00619,                 0.0016,                    nan,                    nan,                    nan,                0.00307,                0.00307,                0.00307
                      9,                    nan,                    nan,                    nan,                0.01225,                0.02047,                 0.0065,                0.00144,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
