                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8775,                 4.0771,                 1.8125,                0.01717,                 0.3163,                 0.0568,                0.02946,                    nan,                    nan,                    nan,               0.070129,               0.003319,               0.003319
                      1,                 1.8365,                  3.633,                  1.759,                0.25326,                0.10436,                0.07744,                0.04547,                    nan,                    nan,                    nan,               0.039909,              0.0064328,              0.0064328
                      2,                 1.8439,                 3.1977,                 1.7528,                0.63997,                0.11574,                0.10343,                0.06288,                    nan,                    nan,                    nan,              0.0094697,              0.0093266,              0.0093266
                      3,                 1.8355,                 2.9447,                   1.79,                0.38919,                0.18348,                0.13118,                0.08133,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                      4,                 1.8104,                 2.7482,                 1.7685,                0.28694,                0.22078,                0.17349,                0.11899,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                      5,                 1.7515,                 2.6348,                 1.7541,                0.38177,                0.24442,                0.21919,                0.13496,                    nan,                    nan,                    nan,                0.00868,                0.00868,                0.00868
                      6,                 1.7307,                 2.5131,                 1.7293,                0.25332,                0.30177,                0.24698,                0.15556,                    nan,                    nan,                    nan,                0.00835,                0.00835,                0.00835
                      7,                 1.7356,                 2.4405,                 1.7143,                0.37811,                0.31399,                0.30601,                0.18004,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                      8,                  1.683,                 2.4004,                 1.7081,                0.33985,                0.35668,                0.28487,                0.17175,                    nan,                    nan,                    nan,                0.00769,                0.00769,                0.00769
                      9,                 1.6594,                 2.3045,                 1.6802,                0.29349,                0.36152,                0.31369,                0.18459,                    nan,                    nan,                    nan,                0.00736,                0.00736,                0.00736
                     10,                  1.601,                 2.1898,                 1.6026,                0.38713,                0.35336,                0.30633,                0.17388,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                     11,                 1.6215,                 2.1867,                 1.6103,                0.38353,                 0.3506,                0.31738,                0.19187,                    nan,                    nan,                    nan,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.5935,                 2.2122,                 1.6233,                0.35656,                0.36557,                0.32321,                0.18693,                    nan,                    nan,                    nan,                0.00637,                0.00637,                0.00637
                     13,                 1.5796,                 2.2029,                 1.6079,                0.31539,                0.37505,                0.31302,                0.18698,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     14,                 1.5589,                 2.1295,                 1.5826,                 0.3287,                0.35571,                 0.3259,                0.20607,                    nan,                    nan,                    nan,                0.00571,                0.00571,                0.00571
                     15,                 1.5655,                 2.1508,                 1.6052,                0.39097,                0.36811,                0.34715,                0.21884,                    nan,                    nan,                    nan,                0.00538,                0.00538,                0.00538
                     16,                 1.5402,                 2.0615,                 1.5632,                0.32433,                0.39825,                0.33412,                 0.1968,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                     17,                 1.5017,                 2.0591,                 1.5431,                0.40422,                0.37213,                0.34008,                0.21088,                    nan,                    nan,                    nan,                0.00472,                0.00472,                0.00472
                     18,                 1.4805,                 2.0141,                  1.519,                0.42207,                0.35903,                0.34275,                 0.2148,                    nan,                    nan,                    nan,                0.00439,                0.00439,                0.00439
                     19,                 1.4867,                 2.0383,                 1.5252,                0.40765,                0.37314,                0.35643,                0.23383,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                     20,                 1.4649,                 2.0152,                 1.5242,                 0.3896,                0.38761,                0.36284,                0.23108,                    nan,                    nan,                    nan,                0.00373,                0.00373,                0.00373
                     21,                 1.4291,                 1.9546,                 1.4912,                0.36972,                 0.4319,                0.37148,                0.24115,                    nan,                    nan,                    nan,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.4361,                 1.9412,                 1.4915,                0.41712,                 0.4041,                0.37452,                0.23013,                    nan,                    nan,                    nan,                0.00307,                0.00307,                0.00307
                     23,                 1.4436,                 1.9278,                 1.4887,                0.38595,                0.42603,                 0.3587,                0.20774,                    nan,                    nan,                    nan,                0.00274,                0.00274,                0.00274
                     24,                 1.3993,                  1.877,                 1.4594,                0.42378,                0.42364,                 0.3767,                0.23694,                    nan,                    nan,                    nan,                0.00241,                0.00241,                0.00241
                     25,                 1.4002,                 1.8675,                 1.4664,                0.45043,                 0.4185,                0.39217,                0.24566,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                     26,                 1.3878,                 1.8919,                 1.4709,                0.41978,                0.42586,                 0.3894,                0.24566,                    nan,                    nan,                    nan,                0.00175,                0.00175,                0.00175
                     27,                 1.3802,                 1.8216,                  1.446,                 0.4109,                0.43232,                0.38676,                0.24696,                    nan,                    nan,                    nan,                0.00142,                0.00142,                0.00142
                     28,                 1.3754,                 1.8749,                 1.4553,                0.41545,                0.43827,                0.39371,                0.25354,                    nan,                    nan,                    nan,                0.00109,                0.00109,                0.00109
                     29,                 1.3668,                 1.8614,                 1.4589,                 0.4014,                0.44433,                0.38615,                0.24753,                    nan,                    nan,                    nan,                0.00076,                0.00076,                0.00076
